element,sp_num,obs_wl_vac(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Ti,1,"=""567.4621""","=""0.0004""","=""11""","=""""",,"=""27480.066""","=""45102.381""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3D*""","=""3""","=""3d2.4s.(2D).5s""","=""3D""","=""3""",,
Fe,1,"=""567.4950""","=""0.0003""","=""2""","=""""",,"=""29798.936""","=""47420.228""","=""3d6.4s2""","=""b 1G2""","=""4""","=""3d6.(3G).4s.4p.(3P*)""","=""w 5G*""","=""5""",,
Ti,1,"=""567.4993""","=""0.0004""","=""20""","=""""",,"=""25388.331""","=""43009.4937""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""4""","=""3d4""","=""3F1""","=""4""",,
Ti,1,"=""567.6254""","=""0.0004""","=""3""","=""""",,"=""27480.066""","=""45097.323""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3D*""","=""3""","=""3d2.4s.(2D).5s""","=""3D""","=""2""",,
Ti,1,"=""567.6984""","=""0.0004""","=""230""","=""1.56e+07""",B+,"=""18593.947""","=""36208.929""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""3""","=""3d2.4s.(4F).5s""","=""e 5F""","=""4""",,
Fe,1,"=""567.92599""","=""0.00010""","=""14""","=""""",,"=""33095.941""","=""50703.870""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""5""",,
Fe,1,"=""567.99541""","=""0.00010""","=""13""","=""""",,"=""31322.613""","=""48928.388""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d7.(4F).5s""","=""e 3F""","=""2""",,
Fe,1,"=""568.0177""","=""0.0003""","=""4""","=""""",,"=""19552.478""","=""37157.566""","=""3d6.4s2""","=""a 3P2""","=""1""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""2""",,
Fe,1,"=""568.05985""","=""0.00010""","=""389""","=""3.7e+06""",D,"=""37521.161""","=""55124.938""","=""3d7.(4F).4p""","=""y 3F*""","=""2""","=""3d7.(4F).4d""","=""f 3F""","=""3""",,
Ti,1,"=""568.1490""","=""0.0004""","=""72""","=""1.1e+07""",D,"=""19937.855""","=""37538.862""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d2.4s.(4F).5s""","=""e 3F""","=""2""",,
Fe,1,"=""568.18162""","=""0.00010""","=""55""","=""8.4e+04""",E,"=""33765.306""","=""51365.311""","=""3d8""","=""c 3F""","=""2""","=""3d7.(2D2).4p""","=""v 3F*""","=""3""",,
Fe,1,"=""568.30826""","=""0.00010""","=""34""","=""""",,"=""33765.306""","=""51361.391""","=""3d8""","=""c 3F""","=""2""","=""3d6.(5D).4s (6D).5p""","=""t 5D*""","=""3""",,
Fe,1,"=""568.4075""","=""0.0003""","=""6""","=""""",,"=""39625.804""","=""57218.827""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d7.(4F).6s""","=""3F""","=""3""",,
Na,1,"=""568.42101""","=""0.00005""","=""5""","=""1.01e+07""",A,"=""16956.17025""","=""34548.764""","=""2p6.3p""","=""2P*""","=""1/2""","=""2p6.4d""","=""2D""","=""3/2""",,
Fe,1,"=""568.6061""","=""0.0003""","=""4""","=""""",,"=""40894.990""","=""58481.855""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 5S*""","=""2""","=""3d6.4s.(4D).4d""","=""5P""","=""3""",,
Fe,1,"=""568.7441""","=""0.0003""","=""2""","=""""",,"=""40231.336""","=""57813.942""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (4D).4d""","=""i 5D""","=""3""",,
Fe,1,"=""568.76978""","=""0.00010""","=""10""","=""""",,"=""29320.026""","=""46901.832""","=""3d6.4s2""","=""b 3D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""1""",,
Fe,1,"=""568.81077""","=""0.00010""","=""720""","=""6.71e+06""",B+,"=""36686.176""","=""54266.716""","=""3d7.(4F).4p""","=""y 3F*""","=""4""","=""3d7.(4F).4d""","=""e 3H""","=""5""",,
Na,1,"=""568.97717""","=""0.00005""","=""1""","=""2.02e+06""",A,"=""16973.36619""","=""34548.764""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.4d""","=""2D""","=""3/2""",,
Na,1,"=""568.97829""","=""0.00005""","=""9""","=""1.21e+07""",A,"=""16973.36619""","=""34548.729""","=""2p6.3p""","=""2P*""","=""3/2""","=""2p6.4d""","=""2D""","=""5/2""",,
Ti,1,"=""569.1038""","=""0.0004""","=""160""","=""1.28e+07""",B+,"=""18525.059""","=""36096.542""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""2""","=""3d2.4s.(4F).5s""","=""e 5F""","=""3""",,
Fe,1,"=""569.30759""","=""0.00010""","=""182""","=""6.7e+06""",E,"=""34692.148""","=""52257.346""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""0""",,
Fe,1,"=""569.4898""","=""0.0003""","=""4""","=""""",,"=""40231.336""","=""57790.909""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d7.(4F).6s""","=""3F""","=""2""",,
Fe,1,"=""569.52219""","=""0.00004""","=""363""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Fe,1,"=""569.76696""","=""0.00010""","=""30""","=""4.35e+05""",C+,"=""36686.176""","=""54237.213""","=""3d7.(4F).4p""","=""y 3F*""","=""4""","=""3d7.(4F).4d""","=""e 5H""","=""4""",,
Fe,1,"=""569.96005""","=""0.00010""","=""39""","=""1.6e+05""",E,"=""29356.744""","=""46901.832""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""1""",,
Fe,1,"=""569.99455""","=""0.00010""","=""36""","=""""",,"=""34636.792""","=""52180.820""","=""3d6.4s2""","=""b 1D2""","=""2""","=""3d7.(2P).4p""","=""1P*""","=""1""",,
Ti,1,"=""569.9982""","=""0.0004""","=""5""","=""""",,"=""18141.265""","=""35685.174""","=""3d3.(2H).4s""","=""a 3H""","=""5""","=""3d3.(2G).4p""","=""y 3H*""","=""6""",,
Fe,1,"=""570.0991""","=""0.0003""","=""8""","=""""",,"=""39969.853""","=""57510.666""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d7.(4F).6s""","=""5F""","=""3""",,
Fe,1,"=""570.31261""","=""0.00010""","=""1120""","=""1.78e+05""",C+,"=""20641.110""","=""38175.355""","=""3d6.4s2""","=""b 3F2""","=""4""","=""3d7.(4F).4p""","=""y 3D*""","=""3""",,
Ti,1,"=""570.3223""","=""0.0004""","=""7""","=""""",,"=""20126.062""","=""37659.992""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""","=""3d2.4s.(4F).5s""","=""e 3F""","=""3""",,
Fe,1,"=""570.3480""","=""0.0003""","=""4""","=""""",,"=""33695.397""","=""51228.553""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""5""",,
Ti,1,"=""570.3587""","=""0.0004""","=""9""","=""""",,"=""20006.039""","=""37538.862""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""2""","=""3d2.4s.(4F).5s""","=""e 3F""","=""2""",,
Fe,1,"=""570.39296""","=""0.00010""","=""26""","=""6.3e+04""",E,"=""29356.744""","=""46888.517""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d7.(4P).4p""","=""u 5D*""","=""2""",,
Ti,1,"=""570.4241""","=""0.0004""","=""100""","=""1.04e+07""",B+,"=""18482.774""","=""36013.597""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""1""","=""3d2.4s.(4F).5s""","=""e 5F""","=""2""",,
Fe,1,"=""570.4488""","=""0.0003""","=""8""","=""""",,"=""39625.804""","=""57155.857""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.4s.(6D).5d""","=""7G""","=""4""",,
Ti,1,"=""570.5480""","=""0.0004""","=""8""","=""""",,"=""25438.908""","=""42965.9148""","=""3d3.(4F).4p""","=""y 3D*""","=""2""","=""3d4""","=""3F1""","=""3""",,
Fe,1,"=""570.63160""","=""0.00010""","=""34""","=""""",,"=""40594.432""","=""58118.875""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""4""","=""3d6.4s.(4D).4d""","=""5F""","=""4""",,
Ti,1,"=""570.6968""","=""0.0004""","=""3""","=""""",,"=""18037.213""","=""35559.648""","=""3d3.(2H).4s""","=""a 3H""","=""4""","=""3d3.(2G).4p""","=""y 3H*""","=""5""",,
Fe,1,"=""570.70471""","=""0.00010""","=""182""","=""3.01e+06""",B,"=""34692.148""","=""52214.345""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,
Fe,1,"=""570.75749""","=""0.00010""","=""780""","=""6.1e+06""",D,"=""37162.746""","=""54683.322""","=""3d7.(4F).4p""","=""y 3F*""","=""3""","=""3d7.(4F).4d""","=""f 3F""","=""4""",,
Fe,1,"=""570.76788""","=""0.00010""","=""81""","=""""",,"=""34547.211""","=""52067.469""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,
Ti,1,"=""570.8351""","=""0.0004""","=""3""","=""""",,"=""25438.908""","=""42957.092""","=""3d3.(4F).4p""","=""y 3D*""","=""2""","=""3d4""","=""3F1""","=""2""",,
Fe,1,"=""570.86325""","=""0.00010""","=""87""","=""1.0e+05""",E,"=""29371.812""","=""46889.142""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""4""",,
Fe,1,"=""570.8831""","=""0.0003""","=""13""","=""""",,"=""29371.812""","=""46888.517""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d7.(4P).4p""","=""u 5D*""","=""2""",,
Fe,1,"=""570.9288""","=""0.0003""","=""3""","=""""",,"=""33095.941""","=""50611.261""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""3""",,
Fe,1,"=""570.96778""","=""0.00010""","=""151""","=""5.3e+05""",E,"=""35767.564""","=""53281.689""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).4d""","=""f 5G""","=""5""",,
Ti,1,"=""570.9782""","=""0.0004""","=""52""","=""3.43e+06""",B+,"=""18695.134""","=""36208.929""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""4""","=""3d2.4s.(4F).5s""","=""e 5F""","=""4""",,
Fe,1,"=""571.09619""","=""0.00010""","=""3160""","=""2.13e+06""",B,"=""27166.820""","=""44677.006""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""",,
Ti,1,"=""571.1488""","=""0.0004""","=""2""","=""""",,"=""25102.875""","=""42611.4510""","=""3d2.(3P).4s.4p.(3P*)""","=""z 5S*""","=""2""","=""3d2.4s.(4F).4d""","=""e 5P""","=""1""",,
Fe,1,"=""571.15160""","=""0.00010""","=""24""","=""""",,"=""34328.752""","=""51837.238""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""3""",,
Mg,1,"=""571.26724""","=""""","=""30""","=""3.86e+06""",B,"=""35051.264""","=""52556.206""","=""3s.3p""","=""1P*""","=""1""","=""3s.5s""","=""1S""","=""0""",,
Fe,1,"=""571.34329""","=""0.00010""","=""219""","=""1.5e+06""",E,"=""34547.211""","=""52049.823""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Ti,1,"=""571.3438""","=""0.0004""","=""77""","=""5.99e+06""",B+,"=""18593.947""","=""36096.542""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""3""","=""3d2.4s.(4F).5s""","=""e 5F""","=""3""",,
Fe,1,"=""571.37159""","=""0.00010""","=""302""","=""2.99e+05""",B,"=""27559.583""","=""45061.329""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""",,
Fe,1,"=""571.4473""","=""0.0005""","=""2""","=""""",,"=""39625.804""","=""57125.250""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.4s.(6D).5d""","=""5F""","=""4""",,
Ti,1,"=""571.5466""","=""0.0004""","=""51""","=""""",,"=""18462.722""","=""35959.109""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""0""","=""3d2.4s.(4F).5s""","=""e 5F""","=""1""",,
Fe,1,"=""571.57384""","=""0.00004""","=""76""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Fe,1,"=""571.61341""","=""0.00010""","=""9""","=""""",,"=""41018.051""","=""58512.387""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""","=""3d6.4s.(4D).4d""","=""5F""","=""2""",,
Fe,1,"=""571.6684""","=""0.0007""","=""219bl*""","=""""",,"=""34547.211""","=""52039.892""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,
Fe,1,"=""571.6684""","=""0.0007""","=""219bl*""","=""""",,"=""33801.572""","=""51294.220""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Ti,1,"=""571.6700""","=""0.0004""","=""200""","=""""",,"=""18192.570""","=""35685.174""","=""3d3.(2H).4s""","=""a 3H""","=""6""","=""3d3.(2G).4p""","=""y 3H*""","=""6""",,
Fe,1,"=""571.7055""","=""0.0003""","=""4""","=""""",,"=""33507.123""","=""50998.645""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 7D""","=""2""",,
Fe,1,"=""571.7758""","=""0.0005""","=""2""","=""""",,"=""36079.372""","=""53568.751""","=""3d7.(4F).4p""","=""z 3G*""","=""3""","=""3d7.(4F).4d""","=""f 5P""","=""2""",,
Ti,1,"=""571.8028""","=""0.0004""","=""74""","=""7.70e+06""",B+,"=""18525.059""","=""36013.597""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""2""","=""3d2.4s.(4F).5s""","=""e 5F""","=""2""",,
Fe,1,"=""571.94187""","=""0.00010""","=""500""","=""5.4e+06""",D,"=""34555.597""","=""52039.892""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""0""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,
Ti,1,"=""572.2022""","=""0.0004""","=""51""","=""8.6e+06""",D,"=""18482.774""","=""35959.109""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""1""","=""3d2.4s.(4F).5s""","=""e 5F""","=""1""",,
Fe,1,"=""572.24849""","=""0.00010""","=""43""","=""""",,"=""36686.176""","=""54161.139""","=""3d7.(4F).4p""","=""y 3F*""","=""4""","=""3d7.(4F).4d""","=""f 5G""","=""3""",,
Fe,1,"=""572.3294""","=""0.0007""","=""11bl*""","=""""",,"=""34547.211""","=""52019.669""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""1""",,
Fe,1,"=""572.3294""","=""0.0007""","=""11bl*""","=""""",,"=""33507.123""","=""50979.579""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""4""",,
Ti,1,"=""572.4963""","=""0.0004""","=""2""","=""""",,"=""25438.908""","=""42906.2727""","=""3d3.(4F).4p""","=""y 3D*""","=""2""","=""3d2.4s.(4F).4d""","=""3D""","=""3""",,
Fe,1,"=""572.52598""","=""0.00010""","=""10""","=""""",,"=""36079.372""","=""53545.833""","=""3d7.(4F).4p""","=""z 3G*""","=""3""","=""3d7.(4F).4d""","=""h 5D""","=""3""",,
Fe,1,"=""572.60424""","=""0.00010""","=""10""","=""""",,"=""34555.597""","=""52019.669""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""0""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""1""",,
Fe,1,"=""573.2447""","=""0.0007""","=""13bl""","=""""",,"=""39625.804""","=""57070.371""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.4s.(6D).5d""","=""7D""","=""3""",,
Ti,1,"=""573.2703""","=""0.0004""","=""4""","=""""",,"=""17995.487""","=""35439.251""","=""3d3.(2P).4s""","=""b 3P""","=""0""","=""3d2.(3P).4s.4p.(1P*)""","=""y 3S*""","=""1""",,
Fe,1,"=""573.33519""","=""0.00010""","=""347""","=""1.6e+06""",D,"=""34328.752""","=""51770.557""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,
Fe,1,"=""573.38857""","=""0.00010""","=""23""","=""""",,"=""40257.314""","=""57697.493""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""","=""3d6.(5D).4s (4D).4d""","=""i 5D""","=""4""",,
Fe,1,"=""573.4453""","=""0.0003""","=""5""","=""""",,"=""33095.941""","=""50534.397""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""f 5D""","=""3""",,
Ti,1,"=""573.5783""","=""0.0004""","=""2""","=""""",,"=""25797.595""","=""43231.9903""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""3""","=""3d2.4s.(4F).4d""","=""g 5F""","=""4""",,
Ti,1,"=""573.5901""","=""0.0004""","=""9""","=""""",,"=""18525.059""","=""35959.109""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""2""","=""3d2.4s.(4F).5s""","=""e 5F""","=""1""",,
Fe,1,"=""573.61555""","=""0.00010""","=""9""","=""""",,"=""39969.853""","=""57403.134""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.4s.(6D).5d""","=""5P""","=""2""",,
Fe,1,"=""573.7299""","=""0.0003""","=""10""","=""""",,"=""39625.804""","=""57055.616""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.4s.(6D).5d""","=""5G""","=""3""",,
Fe,1,"=""573.98190""","=""0.00010""","=""25""","=""""",,"=""34039.516""","=""51461.670""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""4""",,
Ti,1,"=""574.0641""","=""0.0004""","=""9""","=""8.50e+05""",B,"=""18593.947""","=""36013.597""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""3""","=""3d2.4s.(4F).5s""","=""e 5F""","=""2""",,
Ti,1,"=""574.1060""","=""0.0004""","=""170""","=""4.6e+06""",D,"=""18141.265""","=""35559.648""","=""3d3.(2H).4s""","=""a 3H""","=""5""","=""3d3.(2G).4p""","=""y 3H*""","=""5""",,
Fe,1,"=""574.1372""","=""0.0003""","=""2""","=""""",,"=""33801.572""","=""51219.015""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""3""",,
Ti,1,"=""574.1570""","=""0.0004""","=""82""","=""4.8e+06""",D,"=""18037.213""","=""35454.052""","=""3d3.(2H).4s""","=""a 3H""","=""4""","=""3d3.(2G).4p""","=""y 3H*""","=""4""",,
Ti,1,"=""574.2789""","=""0.0004""","=""17""","=""""",,"=""20209.447""","=""37622.575""","=""3d3.(2D2).4s""","=""b 1D""","=""2""","=""3d.4s2.4p""","=""x 1F*""","=""3""",,
Ti,1,"=""574.2987""","=""0.0004""","=""2""","=""""",,"=""25493.733""","=""42906.2727""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""2""","=""3d2.4s.(4F).4d""","=""3D""","=""3""",,
Fe,1,"=""574.34407""","=""0.00010""","=""112""","=""8.59e+05""",C,"=""34328.752""","=""51739.920""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Fe,1,"=""574.45526""","=""0.00010""","=""25""","=""6.2e+04""",E,"=""33695.397""","=""51103.191""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""5""",,
Fe,1,"=""574.5522""","=""0.0003""","=""7""","=""""",,"=""40871.412""","=""58276.260""","=""3d8""","=""3P""","=""2""","=""3d6.4s.(4D).5p""","=""3D*""","=""3""",,
Na,1,"=""574.58""","=""0.02""","=""12""","=""4.e+06""",D,"=""268897.4""","=""286300.4""","=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""3/2""","=""2p5.3s.(3P*).4s""","=""4P*""","=""5/2""",,
Ti,1,"=""574.6055""","=""0.0004""","=""4""","=""""",,"=""25926.771""","=""43330.0066""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""4""","=""3d2.4s.(4F).4d""","=""g 5F""","=""5""",,
Ti,1,"=""574.6659""","=""0.0004""","=""5""","=""3.11e+05""",C+,"=""18695.134""","=""36096.542""","=""3d2.(3F).4s.4p.(3P*)""","=""z 5D*""","=""4""","=""3d2.4s.(4F).5s""","=""e 5F""","=""3""",,
Fe,1,"=""574.9047""","=""0.0003""","=""5""","=""""",,"=""36766.966""","=""54161.139""","=""3d6.(5D).4s.4p.(1P*)""","=""y 5P*""","=""3""","=""3d7.(4F).4d""","=""f 5G""","=""3""",,
Fe,1,"=""574.94321""","=""0.00010""","=""8""","=""""",,"=""35767.564""","=""53160.593""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).4d""","=""f 5P""","=""3""",,
Fe,1,"=""574.95481""","=""0.00010""","=""98""","=""8.8e+05""",E,"=""37162.746""","=""54555.418""","=""3d7.(4F).4p""","=""y 3F*""","=""3""","=""3d7.(4F).4d""","=""e 3H""","=""4""",,
Fe,1,"=""575.1004""","=""0.0003""","=""4""","=""""",,"=""29356.744""","=""46744.993""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d7.(4P).4p""","=""u 5D*""","=""3""",,
Fe,1,"=""575.1231""","=""0.0003""","=""2""","=""""",,"=""35767.564""","=""53155.145""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).4d""","=""h 5D""","=""4""",,
Fe,1,"=""575.1628""","=""0.0003""","=""5""","=""""",,"=""40404.518""","=""57790.909""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d7.(4F).6s""","=""3F""","=""2""",,
Ti,1,"=""575.3344""","=""0.0004""","=""3""","=""""",,"=""26494.330""","=""43875.514""","=""3d3.(4F).4p""","=""y 5G*""","=""2""","=""3d3.(4F).4d""","=""5F""","=""1""",,
Fe,1,"=""575.36270""","=""0.00010""","=""288""","=""""",,"=""36686.176""","=""54066.518""","=""3d7.(4F).4p""","=""y 3F*""","=""4""","=""3d7.(4F).4d""","=""e 3G""","=""4""",,
Ti,1,"=""575.4449""","=""0.0004""","=""11""","=""""",,"=""18061.387""","=""35439.251""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d2.(3P).4s.4p.(1P*)""","=""y 3S*""","=""1""",,
Fe,1,"=""575.47180""","=""0.00010""","=""1020""","=""8.26e+06""",B,"=""34362.873""","=""51739.920""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Fe,1,"=""575.49789""","=""0.00010""","=""7""","=""""",,"=""34328.752""","=""51705.014""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""2""",,
Fe,1,"=""575.52889""","=""0.00010""","=""9""","=""""",,"=""34692.148""","=""52067.469""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,
Fe,1,"=""575.5565""","=""0.0003""","=""4""","=""""",,"=""19788.251""","=""37162.746""","=""3d6.4s2""","=""a 3H""","=""4""","=""3d7.(4F).4p""","=""y 3F*""","=""3""",,
Fe,1,"=""575.59982""","=""0.00010""","=""35""","=""6.5e+04""",E,"=""29371.812""","=""46744.993""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d7.(4P).4p""","=""u 5D*""","=""3""",,
Fe,1,"=""575.6728""","=""0.0003""","=""2""","=""""",,"=""40842.154""","=""58213.124""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""","=""3d6.4s.(4D).4d""","=""5P""","=""2""",,
Fe,1,"=""575.6944""","=""0.0003""","=""4""","=""""",,"=""29356.744""","=""46727.074""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""2""",,
Ti,1,"=""575.8021""","=""0.0004""","=""7""","=""""",,"=""18192.570""","=""35559.648""","=""3d3.(2H).4s""","=""a 3H""","=""6""","=""3d3.(2G).4p""","=""y 3H*""","=""5""",,
Fe,1,"=""575.84108""","=""0.00004""","=""56""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Ti,1,"=""575.8445""","=""0.0004""","=""18""","=""""",,"=""25643.701""","=""43009.4937""","=""3d3.(4F).4p""","=""y 3D*""","=""3""","=""3d4""","=""3F1""","=""4""",,
Fe,1,"=""576.08591""","=""0.00010""","=""17""","=""""",,"=""37521.161""","=""54879.683""","=""3d7.(4F).4p""","=""y 3F*""","=""2""","=""3d7.(4F).4d""","=""e 3P""","=""2""",,
Fe,1,"=""576.11382""","=""0.00010""","=""31""","=""""",,"=""34692.148""","=""52049.823""","=""3d7.(4F).4p""","=""y 5F*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Fe,1,"=""576.19418""","=""0.00010""","=""83""","=""1.5e+05""",E,"=""29371.812""","=""46727.074""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""2""",,
Fe,1,"=""576.2129""","=""0.0003""","=""5""","=""""",,"=""33507.123""","=""50861.816""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 7D""","=""3""",,
Fe,1,"=""576.2291""","=""0.0007""","=""5bl*""","=""""",,"=""26105.908""","=""43460.121""","=""3d7.(2H).4s""","=""b 3H""","=""6""","=""3d6.(3H).4s.4p.(3P*)""","=""z 5I*""","=""5""",,
Fe,1,"=""576.2291""","=""0.0007""","=""5bl*""","=""""",,"=""33507.123""","=""50861.327""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""2""",,
Fe,1,"=""576.2680""","=""0.0003""","=""2""","=""""",,"=""34017.103""","=""51370.145""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""2""",,
Fe,1,"=""576.28534""","=""0.00010""","=""10""","=""""",,"=""29320.026""","=""46672.540""","=""3d6.4s2""","=""b 3D""","=""1""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""0""",,
